X;Y;Tempo;odometro;Distancia;Distancia Total;Velocidade;Consumo;Gasto
2739,99;1315,48;1700089178;1,1;1,1;1,1;8,37;0,11;8295816,78
2740,49;1316,44;2;2,19;1,19;2,3;11,79;0,12;0,01
2740,97;1317,36;3;3,22;1,22;3,52;14,01;0,11;0,01
2741,34;1318,06;4;4,02;1,02;4,54;15,97;0,15;0,03
2741,95;1319,23;6;5,33;1,33;5,87;17,71;0,13;0,04
2742,4;1320,1;7;6,32;1,32;7,18;19,7;0,18;0,05
2742,89;1321,04;8;7,37;1,37;8,56;20,9;0,13;0,04
2743,42;1322,04;9;8,51;1,51;10,06;22,47;0,17;0,07
2744,27;1323,67;10;10,34;1,34;11,4;24,64;0,16;0,07
2744,87;1324,83;11;11,65;1,65;13,06;25,93;0,17;0,08
2745,52;1326,06;12;13,04;1,04;14,1;27,43;0,18;0,09
2746,2;1327,36;13;14,51;1,51;15,61;29;0,18;0,1
2746,91;1328,73;14;16,05;1,05;16,66;30,6;0,22;0,14
2747,67;1330,18;15;17,69;1,69;18,35;32,25;0,19;0,12
2748,47;1331,71;16;19,42;1,42;19,77;34,15;0,23;0,16
2748,88;1332,49;17;20,3;1,3;21,07;34,26;0,09;0,06
2749,28;1333,27;17;21,17;1,17;22,24;34,01;0;0
2749,69;1334,04;18;22,05;1,05;23,29;34,17;0,1;0,08
2750,5;1335,59;19;23,8;1,8;25,09;33,98;0;0
2751,31;1337,15;20;25,56;1,56;26,64;34,29;0,06;0,05
2752,13;1338,71;21;27,31;1,31;27,96;34,21;0;0
2752,53;1339,49;21;28,19;1,19;29,14;34,1;0;0
2752,94;1340,27;22;29,07;1,07;30,21;34,3;0,11;0,1
2753,75;1341,82;23;30,82;1,82;32,03;34,25;0,08;0,08
2754,56;1343,37;24;32,56;1,56;33,6;33,96;0,07;0,07
2755,36;1344,91;25;34,31;1,31;34,9;34,03;0,08;0,09
2755,77;1345,69;26;35,18;1,18;36,09;34,14;0,09;0,1
2756,17;1346,46;26;36,06;1,06;37,14;34,11;0,06;0,07
2756,99;1348,02;27;37,82;1,82;38,96;34,34;0,08;0,09
2757,8;1349,58;28;39,57;1,57;40,53;34,08;0;0
2758,61;1351,13;29;41,32;1,32;41,86;34,3;0,12;0,16
2759,01;1351,9;30;42,2;1,2;43,05;33,99;0;0
2759,42;1352,68;30;43,07;1,07;44,12;34,23;0,11;0,15
